End of Financial Year,Total(USD in million)
1950-51   ,2161
1951-52   ,1815
1952-53   ,1850
1953-54   ,1911
1954-55   ,1873
1955-56   ,1895
1956-57   ,1431
1957-58   ,884
1958-59   ,795
1959-60   ,762
1960-61   ,637
1961-62   ,624
1962-63   ,619
1963-64   ,642
1964-65   ,524
1965-66   ,626
1966-67   ,638
1967-68   ,718
1968-69   ,769
1969-70   ,1094
1970-71   ,975
1971-72   ,1194
1972-73   ,1219
1973-74   ,1325
1974-75   ,1379
1975-76   ,2172
1976-77   ,3747
1977-78   ,5824
1978-79   ,7268
1979-80   ,7361
1980-81   ,6823
1981-82   ,4390
1982-83   ,4896
1983-84   ,5649
1984-85   ,5952
1985-86   ,6520
1986-87   ,6574
1987-88   ,6223
1988-89   ,4802
1989-90   ,3962
1990-91   ,5834
1991-92   ,9220
1992-93   ,9832
1993-94   ,19254
1994-95   ,25186
1995-96   ,21687
1996-97   ,26423
1997-98   ,29367
1998-99   ,32490
1999-00   ,38036
2000-01   ,42281
2001-02   ,54106
2002-03   ,76100
2003-04   ,112959
2004-05   ,141514
2005-06   ,151622
2006-07   ,199179
2007-08   ,309723
2008-09   ,251985
2009-10   ,279057
2010-11   ,304818
2011-12   ,294398
2012-13   ,292046
2013-14   ,304223
2014-15   ,341638
2015-16   ,360176
2016-17   ,369955
2017-18   ,424545
2018-19   ,412871
2019-20   ,477807
